CvA term name	CvA term id	apply to CvA children terms	CvB term name	CvB term id	apply to CvB children terms	"is CvA CvB instance combination expected (NO-error, YES-ok, MAYBE-weird)"
     chromatin immunoprecipitation assays 	MI:0402	FALSE	putative self	MI:0898	FALSE	NO
     chromatin immunoprecipitation assays 	MI:0402	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
     chromatin immunoprecipitation assays 	MI:0402	FALSE	self	MI:0503	FALSE	NO
     chromatin immunoprecipitation assays 	MI:0402	FALSE	suppressed gene	MI:0582	FALSE	NO
     chromatin immunoprecipitation assays 	MI:0402	FALSE	suppressor gene	MI:0581	FALSE	NO
     chromatin immunoprecipitation assays 	MI:0402	FALSE	unspecified role	MI:0499	FALSE	MAYBE
     competition binding 	MI:0405	FALSE	experimental role	MI:0495	FALSE	NO
     competition binding 	MI:0405	FALSE	ancillary	MI:0684	FALSE	NO
     competition binding 	MI:0405	FALSE	bait	MI:0496	FALSE	YES	?
     competition binding 	MI:0405	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
     competition binding 	MI:0405	FALSE	fluorescence donor	MI:0583	FALSE	NO
     competition binding 	MI:0405	FALSE	neutral component	MI:0497	FALSE	YES	?
     competition binding 	MI:0405	FALSE	prey	MI:0498	FALSE	YES	?
     competition binding 	MI:0405	FALSE	putative self	MI:0898	FALSE	NO
     competition binding 	MI:0405	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
     competition binding 	MI:0405	FALSE	self	MI:0503	FALSE	NO
     competition binding 	MI:0405	FALSE	suppressed gene	MI:0582	FALSE	NO
     competition binding 	MI:0405	FALSE	suppressor gene	MI:0581	FALSE	NO
     competition binding 	MI:0405	FALSE	unspecified role	MI:0499	FALSE	MAYBE
     display technology 	MI:0034	FALSE	experimental role	MI:0495	FALSE	NO
     display technology 	MI:0034	FALSE	ancillary	MI:0684	FALSE	NO
     display technology 	MI:0034	FALSE	bait	MI:0496	FALSE	YES
     display technology 	MI:0034	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
     display technology 	MI:0034	FALSE	fluorescence donor	MI:0583	FALSE	NO
     display technology 	MI:0034	FALSE	neutral component	MI:0497	FALSE	NO
     display technology 	MI:0034	FALSE	prey	MI:0498	FALSE	YES
     display technology 	MI:0034	FALSE	putative self	MI:0898	FALSE	NO
     display technology 	MI:0034	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
     display technology 	MI:0034	FALSE	self	MI:0503	FALSE	NO
     display technology 	MI:0034	FALSE	suppressed gene	MI:0582	FALSE	NO
     display technology 	MI:0034	FALSE	suppressor gene	MI:0581	FALSE	NO
     display technology 	MI:0034	FALSE	unspecified role	MI:0499	FALSE	YES
      bacterial display 	MI:0009	FALSE	experimental role	MI:0495	FALSE	NO
      bacterial display 	MI:0009	FALSE	ancillary	MI:0684	FALSE	NO
      bacterial display 	MI:0009	FALSE	bait	MI:0496	FALSE	YES
      bacterial display 	MI:0009	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
      bacterial display 	MI:0009	FALSE	fluorescence donor	MI:0583	FALSE	NO
      bacterial display 	MI:0009	FALSE	neutral component	MI:0497	FALSE	NO
      bacterial display 	MI:0009	FALSE	prey	MI:0498	FALSE	YES
      bacterial display 	MI:0009	FALSE	putative self	MI:0898	FALSE	NO
      bacterial display 	MI:0009	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
      bacterial display 	MI:0009	FALSE	self	MI:0503	FALSE	NO
      bacterial display 	MI:0009	FALSE	suppressed gene	MI:0582	FALSE	NO
      bacterial display 	MI:0009	FALSE	suppressor gene	MI:0581	FALSE	NO
      bacterial display 	MI:0009	FALSE	unspecified role	MI:0499	FALSE	MAYBE
      mrna display 	MI:0073	FALSE	experimental role	MI:0495	FALSE	NO
      mrna display 	MI:0073	FALSE	ancillary	MI:0684	FALSE	NO
      mrna display 	MI:0073	FALSE	bait	MI:0496	FALSE	YES
      mrna display 	MI:0073	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
      mrna display 	MI:0073	FALSE	fluorescence donor	MI:0583	FALSE	NO
      mrna display 	MI:0073	FALSE	neutral component	MI:0497	FALSE	NO
      mrna display 	MI:0073	FALSE	prey	MI:0498	FALSE	YES
      mrna display 	MI:0073	FALSE	putative self	MI:0898	FALSE	NO
      mrna display 	MI:0073	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
      mrna display 	MI:0073	FALSE	self	MI:0503	FALSE	NO
      mrna display 	MI:0073	FALSE	suppressed gene	MI:0582	FALSE	NO
      mrna display 	MI:0073	FALSE	suppressor gene	MI:0581	FALSE	NO
      mrna display 	MI:0073	FALSE	unspecified role	MI:0499	FALSE	MAYBE
      phage display 	MI:0084	FALSE	experimental role	MI:0495	FALSE	NO
      phage display 	MI:0084	FALSE	ancillary	MI:0684	FALSE	NO
      phage display 	MI:0084	FALSE	bait	MI:0496	FALSE	YES
      phage display 	MI:0084	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
      phage display 	MI:0084	FALSE	fluorescence donor	MI:0583	FALSE	NO
